title,date_time,location,url,is_online,title_length
"Join NYU’s Center CIRCL and community partners for a two-day gathering attending to Indigenous presence and relations in New York City, with film screenings, workshops, panels, and performances.","Thursday, September 18, 2025 · until 11:59pm EDT",N/A,https://steinhardt.nyu.edu/events/center-circl-indigenous-equinox-gatherings-nyc,False,194
BFA Exhibition: Recuerdas cuando...,"Thursday, September 18, 2025 · until 11:59pm Sep 28 EDT","The Barney Building, 34 Stuyvesant Street, New Yor...",https://steinhardt.nyu.edu/events/bfa-exhibition-recuerdas-cuando,False,35
"The ANALSEXGANG (ASG) is a collaborative concept group focused on music, video, sculpture, and performance art.","Thursday, September 18, 2025 · until 11:59pm Sep 28 EDT","The Barney Building, 34 Stuyvesant Street, New Yor...",https://steinhardt.nyu.edu/events/bfa-exhibition-asg,False,111
"Beetles, Cats, Clouds features three women manga artists—Tsurita Kuniko, Yamada Murasaki, and Kondoh Akino—whose work defied the reigning gender conventions within Japanese comics from the 1960s into the 2000s.","Thursday, September 18, 2025 · until 11:59pm Feb 1 EDT","80 Washington Square East, NYC",https://steinhardt.nyu.edu/events/80wse-gallery-exhibition-beetles-cats-clouds,False,210
"Escapements brings together drawings by artists whose works navigate the space between opposing worlds, constructing psycho-social metaphors through gesture, mark-making, and image.","Thursday, September 18, 2025 · until 11:59pm Feb 1 EDT","80 Washington Square East, NYC",https://steinhardt.nyu.edu/events/80wse-gallery-exhibition-escapements,False,181
Barbell / Powerlifting Class,"Thursday, September 18, 2025 · All Day",Palladium Athletic Facility,https://engage.nyu.edu/event/11603993,False,28
Bodyweight & Calisthenics Class,"Thursday, September 18, 2025 · All Day",Palladium Athletic Facility,https://engage.nyu.edu/event/11603994,False,31
Fall 2025 Application,"Thursday, September 18, 2025 · All Day",Online,https://engage.nyu.edu/event/11643102,True,21
"How Many Roads: Bob Dylan and his Changing Times, 1961–1964","Thursday, September 18, 2025 · All Day","The Gallatin Galleries – 1 Washington Place, NY 10...",https://gallatin.nyu.edu/content/gallatin/en/utilities/events/2025/08/bob-dylan-exhibit--how-many-roads.html,False,59
Indigenous Equinox Gatherings NYC,"Thursday, September 18, 2025 · All Day",N/A,https://events.nyu.edu/event/indigenous-equinox-gatherings,False,33
Intro to Weightlifting,"Thursday, September 18, 2025 · All Day",404 Fitness - Dance Studio,https://engage.nyu.edu/event/11603965,False,22
Kettlebell Training,"Thursday, September 18, 2025 · All Day",Palladium Athletic Facility,https://engage.nyu.edu/event/11603990,False,19
NYU Faculty Housing Pet Photo Contest,"Thursday, September 18, 2025 · All Day",N/A,https://events.nyu.edu/event/nyu-faculty-housing-pet-photo-contest-2026,False,37
NYU SPS: NASA International Space Apps Challenge,"Thursday, September 18, 2025 · All Day",SPS MTC & 7 E 12th St,https://engage.nyu.edu/event/11594642,False,48
(9/18/25) The Value of US-China Education Exchanges,"Thursday, September 18, 2025 · 8:30am EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=103619,False,51
Asset Management Roundtable: Ariel Property Advisors,"Thursday, September 18, 2025 · 8:30am - 10:00am EDT",DLA Piper Headquarters 1251 Avenue of the Americas...,https://events.nyu.edu/event/368670-asset-management-roundtable-ariel-property-,False,52
Arts & Science Alumni Back to School Networking Breakfast,"Thursday, September 18, 2025 · 8:30am - 10:30am EDT","The Grey Dog, 90 University Place, New York, NY 10...",https://events.nyu.edu/event/367201-arts-science-alumni-back-to-school-networki,False,57
Test,"Thursday, September 18, 2025 · 9:00am - 10:00am EDT",1 Washington Square North,https://events.nyu.edu/event/370768-test,False,4
Off-Campus Employment Options for F-1 Students,"Thursday, September 18, 2025 · 9:30am - 11:00am EDT",Online,https://events.nyu.edu/event/367130-off-campus-employment-options-for-f-1-stude,True,46
Manifold Ask-Me-Anything: Open hours for NYU Manifold,"Thursday, September 18, 2025 · 11:00am - 12:00pm EDT","Remote, Remote",https://nyu.libcal.com/event/15011017,False,53
Hillel Kosher Cafeteria Pop-up,"Thursday, September 18, 2025 · 11:30am EDT",Weinstein Hall,https://events.nyu.edu/event/366107-hillel-kosher-cafeteria-pop-up,False,30
What it Takes to Build a Successful College Application,"Thursday, September 18, 2025 · 12:00pm EDT",Online,https://events.nyu.edu/event/369053-what-it-takes-to-build-a-successful-college,True,55
Instructional Tech Drop-in Sessions,"Thursday, September 18, 2025 · 12:00pm - 2:00pm EDT",Online,http://engineering.nyu.edu/events/2025/09/18/instructional-tech-drop-sessions,True,35
Faculty Development Program: “Civility Part 1 (Open Dialogue)”,"Thursday, September 18, 2025 · 12:30pm EDT",Nagle Auditorium,https://events.nyu.edu/event/370194-faculty-development-program-civility-part-1,False,62
Expanding your donor community: Collective giving,"Thursday, September 18, 2025 · 12:30pm - 1:30pm EDT",Online,https://events.nyu.edu/event/368186-aperio-collective-giving,True,49
Want to get a clearer picture of your future? Join our Vision Journaling Workshop!,"Thursday, September 18, 2025 · 12:30pm - 1:45pm EDT",Pless Hall,https://steinhardt.nyu.edu/events/vision-journaling,False,82
Pasta Making Class,"Thursday, September 18, 2025 · 18:45 CEST (12:45pm EDT)",Chefactory Cooking Academy Florence Via Camillo Ca...,https://events.nyu.edu/event/369695-pasta-making-class,False,18
NYU Berlin Information Session,"Thursday, September 18, 2025 · 1:00pm EDT",Online,https://events.nyu.edu/event/369781-nyu-berlin-information-session,True,30
Intro to Machine Learning Clinic: A Project Walkthrough Session 2,"Thursday, September 18, 2025 · 1:00pm - 2:00pm EDT","Dibner Library, LC 433, Bern Dibner Library",https://nyu.libcal.com/event/14973837,False,65
[September] Personal Preparedness Training,"Thursday, September 18, 2025 · 1:00pm - 2:00pm EDT",Online,https://events.nyu.edu/event/369986-september-personal-preparedness-training,True,42
TA - Fixed Pros - 4 hr. session,"Thursday, September 18, 2025 · 1:00pm - 5:00pm EDT","Sim Lab, 11th Floor",https://engage.nyu.edu/event/11367531,False,31
(9/18/25) PILC and Bernstein Institute for Human Rights Lunch,"Thursday, September 18, 2025 · 1:10pm EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=103397,False,61
(9/18/25) ELS GBM #1,"Thursday, September 18, 2025 · 1:10pm EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=103667,False,20
(9/18/25) Keeping Cool on Global Warming: Why Federal Regulations Were Never Going to Control the Climate,"Thursday, September 18, 2025 · 1:10pm EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=103775,False,105
(9/18/25) ACS Presents: Lawyering in the Courts - An Inside Scoop,"Thursday, September 18, 2025 · 1:15pm EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=104043,False,65
(9/18/25) DALSA General Body Meeting,"Thursday, September 18, 2025 · 1:15pm EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=104214,False,36
AMC Professional Development Committee Meeting,"Thursday, September 18, 2025 · 2:00pm EDT",Online,https://events.nyu.edu/event/367650-amc-professional-development-committee-meet,True,46
AMC Organization and Governance Committee Meeting,"Thursday, September 18, 2025 · 2:00pm - 3:00pm EDT",N/A,https://events.nyu.edu/event/368993-amc-organization-and-governance-committee-m,False,49
Vision Board Workshop,"Thursday, September 18, 2025 · 2:00pm - 4:00pm EDT",LaGuardia Co-op,https://events.nyu.edu/event/367170-vision-board-workshop,False,21
Multimedia Drop-in Sessions,"Thursday, September 18, 2025 · 2:00pm - 4:00pm EDT",Online,http://engineering.nyu.edu/events/2025/09/18/multimedia-drop-sessions,True,27
South Asians @ Poly-Tandon Exhibit Talk,"Thursday, September 18, 2025 · 2:30pm - 3:30pm EDT","Dibner Library, LC 433, Bern Dibner Library",https://nyu.libcal.com/event/15320893,False,39
Tabling Event (Sixth Street),"Thursday, September 18, 2025 · 2:30pm - 4:00pm EDT",200 E 6th street,https://events.nyu.edu/event/369987-tabling-event-sixth-street,False,28
Mindfulness Moment for A Mile in My Shoes,"Thursday, September 18, 2025 · 3:00pm - 3:30pm EDT","Bobst Library, 7th Floor, Rm. 745, Bobst Library",https://nyu.libcal.com/event/15280758,False,41
Writing a Resume for Research Positions,"Thursday, September 18, 2025 · 3:00pm - 4:00pm EDT",Online,https://events.nyu.edu/event/367131-writing-a-resume-for-research-positions,True,39
DrPH AAPE Presentation Featuring Jackie Saltarelli,"Thursday, September 18, 2025 · 3:00pm - 4:00pm EDT","708 Broadway, Room 301",https://events.nyu.edu/event/369488-drph-aape-presentation-featuring-jackie-sal,False,50
Essentials of Research Computing,"Thursday, September 18, 2025 · 3:00pm - 5:00pm EDT","Bobst Library, 6th Floor, Rm. 617, Bobst Library",https://nyu.libcal.com/event/15239807,False,32
Essentials of Research Computing,"Thursday, September 18, 2025 · 3:00pm - 5:00pm EDT","Bobst Library, 6th Floor, Rm. 617",https://engage.nyu.edu/event/11622118,False,32
"Paint, Sip & Relax – Creative Paint Session 🎨","Thursday, September 18, 2025 · 3:00pm - 5:00pm EDT",Makerspace Eventspace,https://engage.nyu.edu/event/11636137,False,45
Mindfulness Moment for A Mile in My Shoes,"Thursday, September 18, 2025 · 3:30pm - 4:00pm EDT","Bobst Library, 7th Floor, Rm. 745, Bobst Library",https://nyu.libcal.com/event/15280835,False,41
"Supplemental Learning Group - CHEM-UA 225, Organic Chemistry I - [Angelo Lecture Only]","Thursday, September 18, 2025 · 3:30pm - 4:45pm EDT",Academic Resource Center (ARC) LL04,https://engage.nyu.edu/event/11626477,False,86
(9/18/25) Environmental Law Society Student-Faculty Mixer,"Thursday, September 18, 2025 · 4:00pm EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=104109,False,57
"Transformative Travel - A Fireside Chat on Purposeful Exploration, Sustainability & Global Connection","Thursday, September 18, 2025 · 4:00pm - 5:30pm EDT","The Grand Hall, NYU Global Center for Academic and...",https://events.nyu.edu/event/368894-transformative-travel-a-fireside-chat-on,False,101
(9/18/25) NYU Law AI Mixer,"Thursday, September 18, 2025 · 4:30pm EDT",N/A,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=103594,False,26
Graduate Student Conference Mixer,"Thursday, September 18, 2025 · 4:30pm - 6:00pm EDT","721 Broadway, Room 612 ADDRESS:721 Broadway,...",https://tisch.nyu.edu/cinema-studies/events/fall-2025/graduate-student-conference-mixer,False,33
